,0,1,2,3,4,5,6,7,8,9
0,0.5321127,0.46788725,0.72888863,0.27111137,0.6071159,0.3928841,0.5330707,0.46692932,0.7820005,0.21799953
1,0.44139618,0.5586038,0.66637105,0.33362895,0.49896905,0.5010309,0.30128738,0.6987126,0.77060217,0.22939782
2,0.4713516,0.52864844,0.73001647,0.26998353,0.7503796,0.24962036,0.53952616,0.4604738,0.7748612,0.22513877
3,0.4538813,0.5461187,0.8380151,0.16198492,0.6844153,0.3155847,0.6502008,0.34979925,0.7439915,0.25600854
4,0.5382202,0.46177974,0.8082096,0.19179042,0.62538785,0.37461215,0.67655617,0.32344383,0.71226275,0.28773728
5,0.5491492,0.4508508,0.77327985,0.22672015,0.6170152,0.38298482,0.3097553,0.6902447,0.81326395,0.18673603
6,0.512986,0.48701403,0.7743427,0.22565727,0.59604734,0.40395266,0.64466393,0.3553361,0.7298365,0.2701635
7,0.4466554,0.5533446,0.6737854,0.32621464,0.58509004,0.41490996,0.4506159,0.54938406,0.79626364,0.20373636
8,0.4922265,0.50777346,0.68702954,0.3129705,0.61751306,0.38248697,0.5031014,0.49689856,0.76102793,0.23897207
9,0.38574785,0.61425215,0.6592478,0.3407522,0.8392415,0.16075848,0.43788427,0.5621157,0.77093834,0.2290617
10,0.48949268,0.5105073,0.7396207,0.26037934,0.4070574,0.5929426,0.5591038,0.44089618,0.8181634,0.18183662
11,0.47128204,0.52871794,0.73638386,0.26361617,0.62149745,0.37850255,0.7374191,0.26258087,0.78870493,0.21129507
12,0.42279804,0.57720196,0.6763924,0.32360765,0.53596807,0.46403193,0.71984243,0.28015757,0.74777824,0.2522218
13,0.46130705,0.53869295,0.7305659,0.2694341,0.48562908,0.5143709,0.4739473,0.5260527,0.7036406,0.29635942
14,0.43724617,0.5627538,0.7431295,0.2568705,0.4359078,0.56409216,0.53385425,0.46614572,0.76846623,0.2315338
15,0.4669748,0.5330252,0.63577074,0.3642293,0.40322676,0.5967732,0.59827524,0.40172473,0.75232077,0.24767923
16,0.48925656,0.51074344,0.7244842,0.27551576,0.82989025,0.17010975,0.6201535,0.3798465,0.82222384,0.17777616
17,0.4511383,0.5488617,0.72356737,0.2764326,0.5595051,0.44049487,0.74294776,0.2570522,0.8128201,0.18717992
18,0.32589984,0.67410016,0.6702414,0.32975858,0.66206497,0.33793503,0.6967192,0.30328077,0.79917693,0.20082307
19,0.3870253,0.6129747,0.81313235,0.18686765,0.6023731,0.39762688,0.45675793,0.54324204,0.7362649,0.26373515
20,0.53193057,0.46806946,0.71240616,0.28759384,0.5585299,0.4414701,0.538658,0.46134195,0.6754985,0.32450154
21,0.3089414,0.6910586,0.6665303,0.3334697,0.827311,0.172689,0.59184307,0.40815693,0.7255604,0.27443954
