,0,1
0,-0.4694274,-2.8557272
1,-0.6421957,-3.1311638
2,-0.5484414,-2.8718243
3,-0.5212581,-3.1046598
4,-0.5853236,-2.866719
5,-0.62570333,-2.92872
6,-0.6219996,-3.1198957
7,-0.46974093,-2.8392692
8,-0.513492,-2.9435697
9,-0.54448795,-3.0615535
10,-0.57629067,-2.9065125
11,-0.58361983,-2.9568238
12,-0.5274409,-2.8558536
13,-0.4667484,-3.0053535
14,-0.60792613,-2.8856537
15,-0.50554425,-2.9977913
16,-0.62350273,-2.996382
17,-0.6316822,-3.137964
18,-0.53782034,-2.9489524
19,-0.42364758,-2.734101
20,-0.56498116,-2.974953
21,-0.46494478,-3.0354943
22,-0.58327377,-2.810059
23,-0.51356876,-2.9785373
24,-0.48459053,-3.0589027
25,-0.44892523,-2.8409278
26,-0.60294926,-2.994074
27,-0.56115377,-2.9554408
28,-0.6610507,-2.9307685
29,-0.47899187,-2.9577806
30,-0.36053658,-2.9885874
31,-0.55682933,-2.9345593
32,-0.6495538,-3.0305054
33,-0.557922,-3.0453084
34,-0.38584703,-3.1155124
35,-0.66568726,-2.9933898
36,-0.50290823,-2.8947484
37,-0.56961864,-2.9690857
38,-0.5589604,-2.8915808
39,-0.64688575,-2.853483
40,-0.5533602,-2.8552856
41,-0.5283754,-2.9844677
42,-0.57913816,-3.0226862
43,-0.7133919,-3.1096077
44,-0.51566434,-2.956945
45,-0.5404061,-3.0430098
46,-0.580485,-2.9812016
47,-0.5479226,-2.8525863
48,-0.72022706,-2.8295054
49,-0.57198095,-2.9156473
50,-0.6252194,-2.981952
51,-0.560749,-2.9291334
52,-0.5785433,-2.970282
53,-0.5059221,-2.8917599
54,-0.47334605,-2.927416
55,-0.59862185,-2.8941207
56,-0.6018761,-2.931717
57,-0.618227,-2.9637887
58,-0.44961753,-2.8983402
59,-0.61599153,-3.0719838
60,-0.5948018,-2.8353567
61,-0.5161271,-2.8863537
62,-0.34467494,-3.034442
63,-0.6083596,-2.9228504
64,-0.4585679,-3.1037245
65,-0.50704134,-2.8969865
66,-0.5610156,-2.8241334
67,-0.6233475,-2.9605103
68,-0.43246028,-3.0914288
69,-0.6021291,-2.9614284
70,-0.57433546,-2.946815
71,-0.6061903,-2.916927
72,-0.66785735,-2.9657273
73,-0.5724959,-2.9519906
74,-0.5363971,-3.0407274
75,-0.5545403,-3.1193233
76,-0.4836113,-2.8258924
77,-0.5328902,-3.0449116
78,-0.54692024,-3.0767145
79,-0.39399427,-2.7510118
80,-0.5693859,-2.8888822
81,-0.46504384,-2.9498563
82,-0.4673931,-3.1350577
83,-0.43041813,-2.7946186
84,-0.38030124,-2.8609376
85,-0.44797364,-2.923917
86,-0.48066568,-2.921702
87,-0.61787486,-2.8116534
88,-0.5711106,-3.0621605
89,-0.48709852,-2.8972235
90,-0.57906073,-2.9839058
91,-0.64713985,-2.9770083
92,-0.40882427,-2.7639616
93,-0.5297904,-3.0028474
94,-0.50423294,-2.8851295
95,-0.4015572,-3.015138
96,-0.6735642,-2.9926872
97,-0.562994,-2.9054816
98,-0.35251135,-2.8463786
99,-0.69418305,-2.901845
100,-0.5724672,-3.0065436
101,-0.63746434,-2.8266678
102,-0.56162107,-2.9374747
103,-0.6569159,-2.9707508
104,-0.46353194,-3.0111384
105,-0.5560725,-2.830901
106,-0.60176456,-2.860455
107,-0.40986758,-3.0205579
108,-0.43765777,-2.9726133
109,-0.68399787,-2.8667006
110,-0.45847327,-2.9066575
111,-0.4273761,-3.1068945
112,-0.5324365,-2.94651
113,-0.32951236,-2.9921653
114,-0.44607404,-3.1327834
115,-0.64111364,-2.9672408
116,-0.3732677,-3.0675237
117,-0.6801045,-2.9319088
118,-0.60991085,-2.8286345
119,-0.42336687,-2.9309158
120,-0.63315046,-2.958966
121,-0.47998792,-2.8788416
122,-0.5250067,-3.1561198
123,-0.5522937,-2.8633807
124,-0.60108817,-3.0835333
125,-0.64403814,-2.9582736
126,-0.53887284,-3.0687466
127,-0.5434052,-2.888453
128,-0.55939984,-2.9698007
129,-0.57536983,-2.8784807
130,-0.39092672,-2.8692484
131,-0.538604,-2.9591012
132,-0.4930969,-2.9282887
133,-0.21431261,-3.1132765
134,-0.48735628,-3.1426435
135,-0.55429024,-2.9643674
136,-0.5578711,-2.9799528
137,-0.63472295,-2.981259
138,-0.40163505,-2.9516723
139,-0.72939277,-3.0005238
140,-0.45430246,-2.9606287
141,-0.6330229,-2.9883037
142,-0.60433066,-2.9593759
143,-0.43977106,-2.9941049
144,-0.56003535,-3.190641
145,-0.5148125,-3.110227
146,-0.72247493,-3.0311005
147,-0.61007524,-2.806982
148,-0.5804043,-2.7749088
149,-0.5845981,-3.0242345
150,-0.5774604,-2.8323233
151,-0.55982447,-3.027996
152,-0.5626901,-2.8633838
153,-0.5969498,-2.9275384
154,-0.6059197,-3.118165
155,-0.6470686,-2.9740033
156,-0.60463214,-3.0874276
157,-0.51007426,-2.8545566
158,-0.540902,-3.0127823
159,-0.54062563,-3.0491817
160,-0.69224316,-2.9622638
161,-0.49204233,-2.9421074
162,-0.6268936,-2.837728
163,-0.60288477,-2.866805
164,-0.6628753,-3.0302548
165,-0.6838734,-2.9863348
166,-0.36957943,-3.0283546
167,-0.58298004,-2.8570445
168,-0.50034225,-2.8321695
169,-0.58549947,-2.9575338
170,-0.54046357,-3.0932064
171,-0.55880463,-3.0736845
172,-0.5039925,-2.8170285
173,-0.3039893,-3.0616531
174,-0.50738144,-3.0488572
175,-0.6095988,-3.03827
