,0,1,2
0,-1.500658,-0.7181798,-0.038956672
1,-0.26786283,-2.3735406,1.486337
2,-0.68507123,-1.065292,1.6728425
3,-1.151718,-1.347854,-0.749433
4,-0.7946004,0.7296255,1.7328982
5,-0.5200425,-0.04716447,-0.40215963
6,-1.2448325,-1.1187207,-1.1098509
7,-1.1205821,-0.92059076,-1.5109974
8,-0.0040086186,-1.1442199,2.055494
9,-0.6841752,-1.9602318,1.6069124
10,0.3055829,-1.3295766,0.3234547
11,-2.4488077,0.009589323,1.2109364
12,-1.77103,-1.6621633,0.32909116
13,-1.7237281,0.661203,1.7685736
14,-1.2029318,-2.1256654,1.1127021
15,-0.37323883,-3.0191238,0.18173419
16,-1.7130095,-1.2415595,-0.19242467
17,-1.5181471,-1.3297646,-0.46415907
18,-0.6580976,-2.1727304,1.5049193
19,-0.3887955,0.61615235,0.12750722
20,-0.45940346,-0.27379885,1.2611213
21,0.1315176,-0.9979257,1.8959006
22,-1.239842,-0.29291648,2.1194685
23,1.0972154,-2.0624287,-1.0196397
24,-0.6594697,-1.2237464,0.5616168
25,-1.1302637,-1.8229427,0.591555
26,-1.1765535,-0.83409464,1.5572132
27,0.13617851,0.18045783,2.6516669
28,-1.3367518,-0.9271721,1.5284631
29,-0.56366843,0.41442084,3.2084699
30,-1.877659,-1.6662236,0.68756986
31,-1.699118,-0.6546404,1.2591331
32,-0.44492003,-1.2918546,1.1064616
33,0.8864338,0.42665446,-0.4869634
34,-0.86986935,0.8176624,0.15360902
35,-0.93179977,-0.16832496,1.0435405
36,-0.61047214,-1.1924033,2.2704923
37,-0.57695985,-2.3732018,0.12206922
38,0.5505657,-0.34039348,1.6946503
39,-1.137338,-0.097651124,-0.6895212
40,-1.2023184,-1.7306247,1.2476665
41,-0.91866475,-0.20998745,1.59319
42,-1.982129,-1.5321479,0.6072183
43,-0.79630286,-1.2856141,1.2088801
44,-1.0288315,1.6299509,1.459392
45,0.7586246,-1.0611167,0.46136796
46,-1.0381228,0.89574176,1.8395413
47,-1.1062764,-0.6094671,1.0717041
48,0.6558804,0.3094282,0.56604415
49,0.7772991,0.283858,1.6501108
50,-2.3996735,-1.595081,1.0715059
51,-1.2340083,0.2393404,-0.12507221
52,-0.77793103,-0.44366524,1.1556284
53,-1.0462245,-1.5468167,0.82541955
54,0.56356657,-2.3191469,1.4595205
55,-1.1881757,-1.166842,2.8739877
56,-0.8793104,-0.46552494,2.1422822
57,-0.5989335,0.94872046,0.3576045
58,1.4910759,-3.393071,0.7818973
59,-2.8560035,0.12462676,0.4808876
60,-0.39428762,-0.4444196,1.0995623
61,-1.0280108,-0.9696575,0.2862721
62,-1.4605119,-1.6500907,1.5190212
63,-2.3055453,-0.44958806,1.6221937
64,-0.7121904,-1.6232804,-0.078355946
65,-1.1974192,-1.6790086,0.4942487
66,0.379239,-0.12748075,0.60704637
67,-1.1754113,-0.81230414,0.52715117
68,-1.9325343,0.8130544,0.51685834
69,0.10027784,1.9693332,0.9160227
70,-1.6379791,-0.38594112,1.5178518
71,-0.9602501,-2.1097617,0.51938534
72,-1.3223823,-1.1228992,0.55719984
73,0.39559838,-1.7421657,2.1981006
74,-3.1742802,-1.3819094,0.79412663
75,-1.0821034,-2.1510937,0.40153918
76,-1.8673782,-0.3890031,0.49518877
77,-2.2798238,-1.081338,0.8615392
78,-2.0310397,0.19657138,-0.14006141
79,-0.36221173,-2.7084222,-0.450129
80,-0.76135916,-1.7500433,-0.015735103
81,-2.5524452,-2.1347663,-0.089693725
82,0.656532,1.7367889,-0.6990866
83,-2.4818013,0.026000716,-0.062086057
84,-1.0568525,-1.442057,2.4054146
85,-1.6625663,-1.5131092,0.10683893
86,-0.89598006,-0.4898189,1.112577
87,-1.0138425,0.21975718,0.81855404
88,-0.49036914,1.3119541,1.6422994
89,0.25393096,-0.97466743,1.6999632
90,-1.3217828,-1.2087866,1.0559543
91,-1.3681535,0.7067941,-0.60151064
92,-1.2764868,-0.9327627,1.5944576
93,-1.0848851,-0.9196033,0.9114278
94,-0.7429585,0.26458794,0.9234489
95,0.6387102,-1.5597763,2.534452
96,0.3672768,0.23445687,2.8805532
97,0.29341355,-0.9205037,0.38108248
98,-0.7791615,-1.6549095,1.758638
99,-0.9920937,-2.428431,0.54773575
100,-1.169415,-2.1642008,1.027271
101,-0.3272418,-0.8375548,2.9636743
102,-0.13451983,-0.7670738,0.69251615
103,-2.2433512,-0.9465862,1.017945
104,-0.48858866,-0.5119757,1.0624096
105,-0.9029401,-0.7109811,2.1837304
106,-1.4719298,-2.3337667,1.2626643
107,-0.60633254,-0.50663996,0.2771555
108,-0.87582576,0.6463376,0.15185657
109,-0.92728025,-0.47097826,3.2426064
110,-0.09674243,-0.38235787,0.64051574
111,-1.6938641,-0.341943,0.091325745
112,-1.1097738,-0.57503045,1.4933823
113,-1.3109187,-2.1026907,0.037719302
114,-1.7973526,-1.8779206,1.5240062
115,-0.8976636,-2.018988,-0.04934589
116,-1.7080803,-2.0996332,0.0004076327
117,-0.17179182,0.5765284,0.11799299
118,0.6248487,-0.099163644,1.6717014
119,-1.9753761,-0.9134481,0.8390074
120,-0.26894024,-1.5892543,1.7595733
121,1.214831,-2.9696617,1.2848965
122,0.40223488,-0.12457357,0.35708347
123,-0.77842337,-0.3705875,0.3463838
124,-2.0305598,-0.46729717,1.1602857
125,-0.9090325,-1.817955,0.37625486
126,-0.9752434,-1.2479858,1.2859536
127,-3.9909947,-2.3209915,-1.0875747
128,-2.0565853,-1.3923312,1.3186264
129,-1.2512721,0.32553887,1.7694038
130,0.39648253,0.9870204,2.1459763
131,-1.9445418,-2.1901813,-2.7338
132,-0.18852288,-1.3278569,1.2725786
133,1.9424833,-1.6553162,1.8317235
134,-0.21072786,-0.5808366,2.060737
135,-0.10338003,-1.8249042,2.3237796
136,-2.1640344,-1.0470489,1.1168503
137,0.75309056,-1.6757764,1.0954025
138,-0.05545736,2.0264888,1.2664388
139,-1.0722716,-0.66146594,0.70207477
140,-0.35180047,-0.9608092,0.8914662
141,0.09586513,0.05832142,-0.9951308
142,-0.7583222,-1.6234893,0.5765101
143,0.28250217,-0.3842822,-0.03831009
144,-0.3239978,-0.08704474,1.4494787
145,-0.17582156,-2.3380556,1.4585248
146,-0.08656809,-1.7111452,-0.043270323
147,-0.7317991,-0.033796586,0.20698848
148,-1.5265967,0.97833955,-0.44585982
149,-1.7689526,-0.9643932,1.6219333
150,-2.2579682,-1.088595,-1.1449487
151,-2.6462295,0.92845666,0.40479964
152,0.8789263,-1.9007779,2.0750117
153,-0.42924732,0.2777962,-0.49619192
154,-1.0022502,-1.1579608,-0.6518224
155,-0.8608992,-0.98691833,2.0159588
156,-1.1194447,-0.9475558,2.0578868
157,-0.33233973,1.0974289,2.0586436
