,0,1,2
0,-0.6448993,-1.2211868,1.9090757
1,0.9130728,-4.162926,0.79011446
2,-0.4366713,-2.2860081,0.86352193
3,0.12552705,-3.111282,0.17840707
4,-1.5066111,-2.3408527,0.36918026
5,-0.927958,-1.1307642,2.0169616
6,0.5975914,-2.349878,1.9659073
7,0.13354203,-3.1365974,0.34693822
8,-0.29016265,-3.1040673,0.5304644
9,0.019278603,-2.4608736,1.1860965
10,-1.8042761,-2.8043683,-0.88728595
11,0.0072812894,-3.0085442,0.8511995
12,-1.9421304,-2.3888056,-0.14864881
13,-0.26749158,-1.6214556,1.6158975
14,-2.2634218,-2.6147125,-0.9551605
15,-0.17189908,-2.3171973,1.1744305
16,-0.23960043,-2.503776,1.1468108
17,-0.640982,-3.1648493,0.16172305
18,-1.1089731,-1.4552209,1.479929
19,0.59067124,-2.4141722,1.8052944
20,-0.21521424,0.097497664,3.206466
21,-1.2548584,-2.8947,-0.035170298
22,-0.6835482,-2.891125,0.8591283
23,-0.2473154,-2.080565,1.2743695
24,0.7158943,-2.1445735,1.9677999
25,-1.092442,-1.7595435,1.479899
26,-0.66446984,-2.4673195,0.97650206
27,0.35870552,-2.1319852,2.3167217
28,-0.55726373,-0.5803233,2.1516352
29,-0.9007379,-2.9126616,0.2320586
30,0.23999073,-3.125528,1.3212038
31,-0.7467752,-2.8647602,1.1268144
32,-0.77071196,-2.8752122,-0.117065504
33,0.11176643,-0.116399944,3.076917
34,-1.2630583,-3.1571774,-0.12363303
35,-0.9919204,-3.1766608,0.05285402
36,-0.8165858,-2.2251067,0.8022434
37,0.023617357,-3.010042,0.39333668
38,-1.3344022,-1.7003473,1.1682718
39,-0.6152895,-2.771897,-0.025487356
40,-1.2974324,-1.326449,0.9768602
41,-1.769352,-2.3018308,-0.012823497
42,0.67951125,-3.1764417,0.9496109
43,0.5652033,-3.140091,1.2320248
44,-1.6826634,-2.5955374,-0.03927978
45,-1.0666031,-2.808632,0.07162562
46,-1.7369316,-2.497866,0.35496017
47,-0.093778096,-1.9651868,1.7514842
48,-0.79046434,-2.4359663,1.421342
49,-0.86744,1.113528,2.7705965
50,-0.6667903,-2.3152974,0.788618
51,-1.5564363,-2.9741898,-0.26288635
52,-0.05778631,-3.1054535,0.7595508
53,-1.0162104,-3.1387408,0.07288289
54,-2.4642546,-2.644715,-0.8431251
55,-0.55431426,-2.4010289,0.79003274
56,-0.6107981,-2.263385,0.9992208
57,-1.8807377,-1.5372761,0.5486329
58,-0.20430978,-3.4749002,0.45278853
59,-1.2181368,-2.4677103,0.53534484
60,0.055931855,-3.196246,-0.047828905
61,0.003377971,-2.1056209,1.5010518
62,-1.4073267,-0.15152846,1.7155131
63,-1.4056991,-2.858501,-0.64008206
64,0.046513338,-3.4124417,0.70227283
65,0.12578681,-2.8061943,0.5422812
66,0.15291107,-1.8880239,1.4697741
67,-0.79969066,-2.7740734,0.030610345
68,-0.6693356,-2.5345275,0.6127768
69,-1.3885638,-2.7532463,-0.71663296
70,-0.33643988,-2.414102,0.6855398
71,0.2720855,-2.3198948,1.4355401
72,-0.07845885,-2.2481794,1.548431
73,-1.5777395,-3.2653742,-0.54652345
74,-0.8764193,-1.0829976,1.6385441
75,-1.4589511,-0.17184217,2.0710146
76,-0.7381375,-1.8441728,1.6970174
77,-0.5156062,-2.8475792,0.42440286
78,-1.6088187,-2.7303615,-0.09519461
79,0.032213867,-1.9219999,1.6476071
80,1.0810213,-2.9634333,1.6191225
81,-0.45691192,-2.8160007,1.0418491
82,-1.4436789,-2.1920028,0.5471258
83,0.20179069,-2.5240984,1.5594246
84,-1.9394627,-3.248743,-1.1796135
85,-1.1459147,-2.208012,0.5473366
86,-0.08268211,-2.7935936,0.8664706
87,0.10568181,-3.233133,0.028873043
88,-0.1973472,-1.8588562,1.5860653
89,-0.32183388,-1.2543296,2.3787708
90,-0.5435403,-2.1838038,0.89420795
91,-0.48778686,-1.8252345,1.4108946
92,-1.460446,-2.0411654,0.34674624
93,-0.28971604,-3.1522493,0.25976297
94,-0.3109681,-1.4512162,1.9028068
95,0.002346324,-2.4908726,1.1473434
96,-0.41058558,-2.8609765,0.41467902
97,-0.3118215,-1.7199012,1.8766344
98,0.17652756,-3.0066736,1.1331749
99,-0.5581009,-2.4722302,0.59248036
100,-0.55330515,-3.056236,0.3754537
101,0.099940635,-2.6109784,1.2677741
102,-1.2993487,-1.7765386,1.2341412
103,0.097439356,-2.184123,2.1841006
104,-0.029428612,-3.4370694,0.6013586
105,0.22577792,-2.9352064,1.0649796
106,-1.3815371,-2.3179095,0.21390124
107,-0.6141319,-4.045105,-0.7392565
108,-1.6797968,-2.658887,-0.20126873
109,-0.3375115,-3.204314,1.0128193
110,0.80088,-2.7360752,1.9638319
111,-1.5670658,-3.208406,-0.6877461
112,-0.9109403,-3.3876934,-0.5607041
113,-0.88761365,-2.8970096,0.80594164
114,-1.4414277,-3.5583935,-0.82953894
115,0.6192139,-3.2539275,1.145431
116,-1.1722571,-2.4354222,0.19755328
117,-0.07862783,-2.638155,1.0704253
118,-1.0626775,-2.0182865,0.46561933
119,0.42299998,-2.5307467,1.7883738
120,0.013705497,-1.6591237,2.1692965
121,-0.390562,-0.17950119,2.499823
122,-2.4900446,-3.0093045,-1.2997588
123,-0.44221398,-2.48465,1.068159
124,-0.41522628,-1.3380429,2.028938
125,-1.5711452,-2.8833244,-0.17382044
126,-1.9885297,-2.3008704,0.17699237
127,-1.3609564,-3.3718653,-0.6895887
128,-0.9692815,0.54115033,2.8297465
129,-1.4609264,-2.8843915,-0.071536444
130,-1.3427131,-1.8431337,0.7115275
131,-0.035107255,-1.4901834,2.3401468
132,-1.4089856,-3.4893262,-1.1355245
133,-1.4507915,-3.3618414,-1.2161872
134,0.43615696,-1.2001297,2.2945144
135,0.331154,-2.3522928,2.0928726
136,-1.6813983,-2.7763457,-0.00063529157
137,-1.974733,-2.839812,-0.8535672
138,-1.5617982,-2.9730492,-0.21150833
139,-0.3333335,-2.315327,1.3418479
140,-0.71695685,-3.024479,0.11967275
141,-1.5303974,-2.8199918,-0.23177913
142,-0.82688785,-0.6612553,2.049087
143,0.4037613,-3.81417,0.7958098
144,0.93356603,-2.1662004,2.207845
145,-1.8620344,-2.87306,-0.40495738
146,-0.39223462,-0.84830713,2.2509634
147,-1.2655995,-2.3880835,0.8187826
148,-2.648149,-2.7269018,-1.0365115
149,-1.2187867,-2.0778623,0.4513134
150,-0.98250186,-3.1675231,0.09369147
151,-0.82877207,-2.6902623,0.34574735
152,-0.09002264,-4.1286993,-0.49914625
153,0.64587194,-3.0007315,1.1063538
154,-0.23457651,-1.3735654,1.5828949
155,0.19648759,-2.39267,1.8347213
156,-1.6527838,-2.5044324,0.43534458
157,-2.5974822,-2.1787856,-0.29635832
158,-1.4403945,-2.9816735,-0.3438734
159,-0.18420312,-2.9806437,0.43254086
160,-0.4916022,-2.0471609,1.4864473
161,-0.5560825,-2.1829062,1.088411
162,0.1482735,-1.5353247,1.969802
163,-0.05209234,-2.9013097,0.79800147
164,-0.28632858,-1.2631453,2.2255194
165,-0.8839491,-3.7366347,-0.39645174
166,-2.4725318,-2.4188457,-0.276963
167,0.99419844,-2.1963828,1.549436
168,0.2684748,-2.6029954,1.1494117
169,-0.63805956,-2.7291512,0.09892604
170,0.5645075,-1.1864591,2.735016
171,-1.4611841,-3.482222,-0.42601833
172,-0.6766332,-2.905131,0.47429863
173,-0.33719835,-1.9678133,1.2159361
174,-0.3946947,-1.7281481,1.869457
175,-0.12809268,-2.874067,0.82324797
176,0.21490622,-2.8174238,0.887745
177,-1.6533637,-3.162652,-0.8054936
178,0.12752607,-1.5883217,1.9685178
179,-1.5216156,-1.6490682,0.7560245
180,-0.6495009,-1.5607144,1.3442247
181,-0.5926666,-3.0345147,0.80759764
182,-0.92997587,-2.924176,0.44922206
183,-0.68512607,-2.3350503,1.3254923
184,-1.3803515,-3.1225572,0.038474403
185,-0.8427328,-2.8095841,0.12195421
186,-0.5126403,-0.9897199,1.9360048
187,0.44071063,-1.1130242,2.7188528
188,1.1039077,-3.3084924,1.8001795
189,-0.98982155,-2.0239346,0.6289945
190,-1.5380288,-2.031706,0.47532383
191,-0.86025625,-3.2266722,0.45749334
192,-0.8981004,-2.7796512,0.17123942
193,-0.065795764,-2.0737853,1.5133574
194,-1.4053515,-2.9814816,-0.102773555
195,-0.29886755,-2.5021763,0.92075306
196,-0.06815998,-0.64657605,2.637763
197,0.049521703,-2.2211936,1.6187645
198,-0.803221,-2.5551178,0.30952814
199,-0.4864627,-3.2572155,0.23967323
200,-1.3690301,-2.2224507,0.18765575
201,0.15906927,-2.2639506,1.9895163
202,-0.88680524,-2.9650407,0.24580118
203,0.62945205,-0.3180018,3.4646811
204,-1.5928674,-1.926078,0.56629735
205,0.32031202,0.30700696,3.3135686
206,0.5429947,-2.9408395,1.1662537
207,-1.4031696,-3.275388,-0.36165285
208,0.15644576,-1.7527883,1.6291714
209,0.52795494,-2.8991463,1.3453028
210,-0.9634372,-1.948003,0.7812395
211,-0.6579682,-1.1412207,2.1020882
212,-1.3101479,-3.2743423,-0.2099364
213,-0.42959344,-2.6987836,0.80129
214,-0.6700179,-2.5040905,0.7751894
215,-1.1392311,-3.0503826,-0.46901038
216,0.90094197,-2.4485202,2.0293546
217,0.25412276,-1.7709546,2.219324
218,0.61471915,-3.5543137,0.92206377
219,-1.4824065,-2.557143,0.19633332
220,-0.50748014,-0.73147553,2.415112
221,-0.5156595,-2.4871109,1.071527
222,-0.6416485,-2.1482754,1.342574
223,0.35043794,-1.7018853,1.9974767
224,-1.038674,-2.724516,0.33986622
225,-2.208715,-2.6754909,-0.6937097
226,-1.5145009,-2.3493903,0.2564199
227,-1.0639071,-3.135468,0.21202432
228,-1.8411456,-3.109465,-0.95436084
229,-0.57796526,-1.1439395,1.9507332
230,-1.3713255,-2.3048413,0.20512848
231,-0.65258473,-2.9082613,0.14234582
232,-0.8734376,-1.5810827,1.7984502
233,0.71853226,-2.4286046,2.2075562
234,0.6426713,-2.7611487,1.1867529
235,-0.058757965,-3.0834193,1.0922223
236,-0.26874632,-2.7678504,1.1589309
237,-0.18817928,-3.1963766,0.75701284
238,-0.085771084,-3.0863008,0.40583956
239,-0.4061249,-2.8910334,0.27094904
240,-0.55768967,-3.2120514,0.38326508
241,1.1930242,-3.0613453,2.1956277
242,-0.6349174,-2.536567,0.30953482
243,-0.5232295,-3.4431925,0.12083982
244,-0.23545848,-2.0842774,1.6891494
245,0.0020539672,-3.2270668,0.29965916
246,0.15287207,-2.2348185,1.9604985
247,-1.6993979,-2.7071507,0.13009767
248,-0.52510625,-2.333511,1.2903702
249,0.39458337,-2.9219155,0.95509017
250,-0.7649208,-3.3143303,0.16409518
251,0.9382473,-3.1178234,1.125958
252,-0.9343107,-2.0178554,1.1321499
253,-0.19318257,-2.8383355,0.9382436
254,-1.1150002,-2.4907098,0.26241416
255,-1.0155464,-2.1140456,0.8045538
256,-0.21737638,-0.50621575,2.4289067
257,-1.2415332,-1.8263168,0.7822164
258,-0.55239785,-3.4539466,0.38099408
259,-0.85142,-4.082278,-1.173147
260,0.5362968,-2.6398072,2.302995
261,-1.4569538,-2.966083,-0.40128273
262,-1.2570479,-1.4694464,1.0881058
263,-0.5998496,-3.4195802,0.6122038
264,-0.8094353,-1.6953406,1.5946176
265,-1.511653,-3.0022879,-0.6675708
266,0.122998565,-3.557638,0.08033675
267,-1.0137028,-2.4031954,0.9540899
268,-0.08481351,-3.8772786,-0.39903632
269,-0.058086473,-1.6185803,1.6181802
270,-1.5399455,-2.6202283,-0.22625698
271,0.30907094,-2.7087016,1.3873433
272,-0.8125129,-1.6463542,1.1046668
273,-0.64615554,-3.4077606,-0.5327336
274,0.05010332,-2.8060482,0.5009144
275,0.37543726,-2.6527667,1.4475746
276,-0.73817813,-3.295243,-0.18557929
277,0.22141026,-3.261274,0.6036137
278,-2.440658,-2.1032639,-0.076134175
279,-1.1288288,-2.7115383,0.92059827
280,0.46470177,-1.5972284,2.220221
281,-0.7216853,-2.7366624,0.035471987
282,-0.91337556,-1.4725109,1.6321062
283,0.7378518,-2.3157547,2.3273902
284,-1.208121,-2.035462,1.1805644
285,-2.171,-2.657284,-0.83165395
286,0.1455427,-2.139746,1.6324035
287,0.07986502,-3.1212635,0.74834293
288,-0.5830619,-2.8125613,0.7662862
289,-0.06956342,-1.9227663,1.7526569
290,1.363326,-2.220574,2.3913298
291,0.18100004,-1.9347346,2.1392486
292,-0.7003262,-3.736336,-0.34088767
293,-1.3823355,-3.302111,-0.2312244
294,0.5563621,-3.852974,0.94000345
295,-0.6275279,-1.2804426,1.7494212
296,0.47546452,-3.2306304,1.2202395
297,-1.0606086,-2.9447877,0.5498466
298,-0.8502626,-2.8307602,0.3432379
299,-0.5842881,-2.7230208,0.48344472
300,0.77010405,-1.9124769,2.3659284
301,0.52217144,-4.1531887,-0.39510092
302,-0.7112174,-1.0577691,2.3627937
303,-1.1370348,-2.681168,0.4408641
304,-1.7939339,-2.432786,0.17043304
305,0.50369287,-2.957508,1.2497791
306,-0.33036172,-2.2174919,1.2945517
307,-0.8953614,-2.766033,0.22517839
308,0.80287004,-1.8063569,2.4920664
309,-1.7895411,-2.9497316,-0.39967468
310,-0.40754777,-3.962174,-0.13736305
311,0.35148358,-2.4323647,1.5534025
312,-1.7294726,-1.8007466,0.6898339
313,-1.7377113,-2.6447024,-0.27484503
314,-0.7717016,-2.9192872,0.33627808
315,-0.76954883,-3.1413476,0.6393513
316,0.36298624,-2.830692,0.9701092
317,0.7160527,-2.3593016,2.1673207
318,-0.111188084,-2.8224277,1.3694066
319,-1.8391602,-2.7931824,-0.39306423
320,-1.3017647,-1.9417527,0.934675
321,-0.4082891,0.7090591,3.334298
322,-1.9468884,-3.2907257,-1.1617147
323,-0.9115847,-3.133687,0.05928238
324,-1.2562838,-3.847414,-0.92915994
325,-1.3584802,-3.354092,0.23730977
326,-2.176657,-2.771023,-0.86420786
327,-0.6767321,-3.3178704,-0.050453626
328,0.19121212,-2.15377,1.7410543
329,-0.59394956,-3.2032874,0.58736515
330,-0.042596605,-2.2433388,1.4604161
331,-1.7559403,-2.161989,0.25207326
332,0.5117801,-2.018374,1.9038874
333,-0.6813405,-2.3465126,0.7328179
334,0.31816265,-3.4328582,0.6524485
335,-0.632965,-3.5767255,0.30771995
336,-1.1080762,-2.8563404,0.32667235
337,-1.325038,-1.320276,0.90523154
338,-3.4641917,-2.1192627,-1.3322272
339,0.84561324,-3.2856953,1.3903831
340,-2.318288,-2.4902296,-0.36425546
341,-2.840246,-2.8394833,-1.2024261
342,-0.35466066,-2.7191646,0.4612157
343,-0.78055775,-3.025605,0.716959
344,-1.2329018,-1.9613285,0.7479921
345,-1.8080118,-2.603469,-0.22004929
346,0.09577071,-3.5779874,0.90664756
347,0.7857918,-1.1444721,2.7997055
348,-0.9213085,-1.2827699,1.6310072
349,-0.47425878,-2.2705507,1.4909308
350,-0.28678223,-3.5247645,0.080433376
351,-0.9958305,-3.021874,0.016422419
352,0.0031655086,-3.592939,0.34153908
353,-1.3781477,-2.7781756,-0.047408815
